#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C353
#Date Time: 2025-04-28 16:26:41.791
#Sample rate: 1600Hz
#Samples: 8192
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
0.1083924731182796,-9.298383859736521
0.1090174731182796,-9.364561674205811
0.1096424731182796,-9.371914764702399
0.1102674731182796,-9.26897149775017
0.1108924731182796,-9.327796221722872
0.1115174731182796,-9.346178947964342
0.1121424731182796,-9.313090040729696
0.1127674731182796,-9.327796221722872
0.1133924731182796,-9.298383859736521
0.1140174731182796,-9.346178947964342
0.1146424731182796,-9.338825857467754
0.1152674731182796,-9.33514931221946
0.1158924731182796,-9.331472766971165
0.1165174731182796,-9.379267855198988
0.1171424731182796,-9.463828395909747
0.1177674731182796,-9.386620945695574
0.1183924731182796,-9.360885128957518
0.1190174731182796,-9.427062943426808
0.1196424731182796,-9.390297490943869
0.1202674731182796,-9.390297490943869
0.1208924731182796,-9.33514931221946
0.1215174731182796,-9.371914764702399
0.1221424731182796,-9.342502402716049
0.1227674731182796,-9.349855493212635
0.1233924731182796,-9.346178947964342
0.1240174731182796,-9.408680217185339
0.1246424731182796,-9.371914764702399
0.1252674731182796,-9.397650581440457
0.1258924731182796,-9.441769124419983
0.1265174731182796,-9.382944400447281
0.1271424731182796,-9.379267855198988
0.1277674731182796,-9.449122214916571
0.1283924731182796,-9.40132712668875
0.1290174731182796,-9.405003671937044
0.1296424731182796,-9.368238219454105
0.1302674731182796,-9.346178947964342
0.1308924731182796,-9.324119676474579
0.1315174731182796,-9.313090040729696
0.1321424731182796,-9.346178947964342
0.1327674731182796,-9.33514931221946
0.1333924731182796,-9.298383859736521
0.1340174731182796,-9.412356762433632
0.1346424731182796,-9.445445669668278
0.1352674731182796,-9.430739488675101
0.1358924731182796,-9.412356762433632
0.1365174731182796,-9.427062943426808
0.1371424731182796,-9.393974036192162
